Number of apps,Average price,Average rating
64,0.09328125,4.357377049180328
85,0.1584705882352941,4.190410958904109
53,0.0,4.2785714285714285
222,0.5395045045045046,4.344970414201184
420,0.4173571428571428,4.098479087452472
56,0.0,4.181481481481482
315,0.2639365079365079,4.121484375
171,0.16046783625730995,3.970149253731343
119,0.15092436974789916,4.364406779661017
102,0.07823529411764707,4.135294117647059
64,1.71859375,4.435555555555555
1832,1.309967248908297,4.179664179104478
345,8.408202898550725,4.115562913907285
112,0.07571428571428572,4.172340425531915
959,0.2964650677789364,4.247368421052632
288,0.22343750000000004,4.243032786885245
74,0.0,4.15
84,0.011785714285714285,4.178125
369,6.398021680216802,4.093355481727574
131,0.20572519083969468,4.036440677966102
395,2.5207594936708864,4.166551724137931
254,0.015669291338582678,4.12156862745098
60,0.15966666666666668,4.3
376,0.40021276595744676,4.332214765100671
281,0.4209252669039146,4.1574144486692015
374,0.6709358288770053,4.183388704318937
202,0.027128712871287132,4.2299999999999995
239,0.06682008368200837,4.247290640394089
325,0.3076923076923077,4.216153846153846
827,0.3231559854897219,4.039554317548746
219,0.22808219178082192,4.06951871657754
163,0.0641717791411043,4.044594594594595
79,0.41037974683544304,4.243055555555555
